id,City,Country,Longitude,Latitude
65,Kanturk,Ireland,-8.9342111,52.182304
66,London,United Kingdom,-0.1255489,51.5195403
67,Twyford,United Kingdom,-0.922509,52.683916
68,Upton,United Kingdom,-1.2780726,53.6190091
69,Kanturk,Ireland,-8.9342111,52.182304
70,Castleblayney,Ireland,-6.64937,54.10269
71,Old Kilcullen,Ireland,-6.7449927,53.1310185
72,Fairview,Ireland,-6.4202878,54.0026343
73,Charlton,United Kingdom,-1.407848,51.59119
74,Daingean,Ireland,-7.1297243,52.2509369
75,Gorey,Ireland,-6.308522,52.665267
76,Norton,United Kingdom,-1.1202549,52.2679288
77,Sallins,Ireland,-6.6633404,53.2492381
78,Castlepollard,Ireland,-7.2979911,53.6785169
79,Aberdeen,United Kingdom,-2.2508745,56.968436
80,Kinloch,United Kingdom,-6.2823331,57.013064
81,London,United Kingdom,-0.0829051,51.5116933
82,Ballina,Ireland,-9.151825,54.11215
83,Bailieborough,Ireland,-6.9711886,53.916791
84,Dublin,Ireland,-6.2427004,53.3347733
85,London,United Kingdom,-0.1284654,51.5142805
86,Manchester,United Kingdom,-2.2294364,53.4508777
87,Swinford,Ireland,-8.9480659,53.940892
88,Dungloe,Ireland,-6.3695384,53.3734053
89,Weston,United Kingdom,-0.964804,50.994689
90,Rathnew,Ireland,-6.374155,53.3223974
91,Crossmolina,Ireland,-6.473025,54.0086093
92,Carrigtwohill,Ireland,-8.259128,51.908209
93,Portumna,Ireland,-8.2215941,53.0917381
94,Marston,United Kingdom,-2.244703,52.721723
95,Granard,Ireland,-7.5011999,53.776647
96,Castleblayney,Ireland,-6.64937,54.10269
97,Manchester,United Kingdom,-2.2294364,53.4508777
98,Killumney,Ireland,-8.6340751,52.6638144
99,Glasnevin,Ireland,-6.266734,53.3829319
100,Monasterevin,Ireland,-7.0625888,53.1387595
101,Kinnegad,Ireland,-9.1327273,53.806868
102,Rathnew,Ireland,-6.374155,53.3223974
103,Gorey,Ireland,-6.308522,52.665267
104,Cavan,Ireland,-7.297914,54.026345
105,Newtown,United Kingdom,-1.3218754,51.3684218
106,Fairview,Ireland,-6.4202878,54.0026343
107,Midleton,Ireland,-8.1722173,51.9138694
108,Church End,United Kingdom,0.1405602,52.216745
109,Eadestown,Ireland,-6.590926,53.1936864
110,Prosperous,Ireland,-6.7515223,53.2888321
111,Cluain Meala,Ireland,-6.2611953,53.3881832
112,Aston,United Kingdom,-2.569913,52.684744
113,Sandymount,Ireland,-6.2152673,53.3323703
114,Cherryville,Ireland,-7.1111732,52.2513095
115,Cashel,Ireland,-7.888894,52.516323
116,Boyle,Ireland,-8.2969737,53.9735591
117,Gort,Ireland,-8.9791425,52.8638391
118,Kinnegad,Ireland,-9.1327273,53.806868
119,Watergrasshill,Ireland,-8.337871,52.0097259
120,Belfast,United Kingdom,-5.9308088,54.5940619
121,Ballivor,Ireland,-6.1191333,53.1915379
122,Gweedore,Ireland,-9.0288689,53.2737147
123,Fairview,Ireland,-6.4202878,54.0026343
124,Upton,United Kingdom,-0.7009333,53.3723602
125,Castleknock,Ireland,-9.0248232,53.2760162
126,Birmingham,United Kingdom,-1.7138034,52.454148
127,Thomastown,Ireland,-6.7434401,53.2229873
128,Clondalkin,Ireland,-6.4496384,53.3582341
129,Sheffield,United Kingdom,-1.7622544,53.3992318
130,Shankill,Ireland,-6.124065,53.231395
131,London,United Kingdom,-0.0829051,51.5116933
132,Watergrasshill,Ireland,-8.337871,52.0097259
133,Church End,United Kingdom,-0.198414,51.598282
134,Kill,Ireland,-6.5924609,53.2482376
135,Kinnegad,Ireland,-9.1327273,53.806868
136,Brampton,United Kingdom,1.580316,52.382748
137,Booterstown,Ireland,-6.1979853,53.3046353
138,Cluain Meala,Ireland,-6.2611953,53.3881832
139,Birmingham,United Kingdom,-1.7138034,52.454148
140,Kingscourt,Ireland,-6.2755912,53.3500473
141,Bailieborough,Ireland,-6.9711886,53.916791
142,Ballymahon,Ireland,-7.7655701,53.5650926
143,Castlerea,Ireland,-8.6346959,53.7423435
144,Askeaton,Ireland,-8.9706844,52.6004448
145,Middleton,United Kingdom,-0.766168,52.501244
146,Dungloe,Ireland,-6.3695384,53.3734053
147,Marston,United Kingdom,-2.244703,52.721723
148,Ballinroad,Ireland,-7.5717688,52.1045472
149,Linton,United Kingdom,-2.0215836,54.0542238
150,Balrothery,Ireland,-6.1884248,53.5879156
151,Sandymount,Ireland,-6.2152673,53.3323703
152,Kilmacanoge,Ireland,-6.139018,53.171935
153,Longwood,Ireland,-6.2892907,53.310122
154,Enniskerry,Ireland,-8.9821467,52.8498651
155,Rathdrum,Ireland,-6.163027,53.2339841
156,Raphoe,Ireland,-8.2755058,52.2627273
157,Aberdeen,United Kingdom,-2.2508745,56.968436
158,Portarlington,Ireland,-7.185387,53.158984
159,Weston,United Kingdom,-0.964804,50.994689
160,Cherryville,Ireland,-7.1111732,52.2513095
161,Ballisodare,Ireland,-8.5070436,54.2109904
162,Bayside,Ireland,-9.1097137,53.2582868
163,Castlebellingham,Ireland,-6.391149,53.8996586
164,Fermoy,Ireland,-9.5003786,52.4458588
165,Dungloe,Ireland,-6.3695384,53.3734053
166,Blessington,Ireland,-8.5111664,51.8858819
167,Carrigtwohill,Ireland,-8.259128,51.908209
168,Longwood,Ireland,-6.2892907,53.310122
169,Ashford,Ireland,-6.3828795,53.385304
170,Bailieborough,Ireland,-6.9711886,53.916791
171,Dundrum,Ireland,-6.2508196,53.2866372
172,Pentre,United Kingdom,-2.941678,52.753093
173,Belmullet,Ireland,-10.0320886,54.2223118
174,Crossmolina,Ireland,-6.473025,54.0086093
175,Kinnegad,Ireland,-9.1327273,53.806868
176,Eaton,United Kingdom,-0.9335791,53.2945961
177,Sandyford,Ireland,-6.3422325,53.719155
178,Dundrum,Ireland,-6.2508196,53.2866372
179,Dungarvan,Ireland,-6.1822287,53.3788495
180,Monasterevin,Ireland,-7.0625888,53.1387595
181,Lucan,Ireland,-9.4904891,52.6396679
182,Shankill,Ireland,-6.124065,53.231395
183,Upton,United Kingdom,-1.2780726,53.6190091
184,Ashford,Ireland,-6.3828795,53.385304
185,Enniskerry,Ireland,-8.9821467,52.8498651
186,Weston,United Kingdom,-0.964804,50.994689
187,London,United Kingdom,-0.1365486,51.5136143
188,Watergrasshill,Ireland,-8.337871,52.0097259
189,Tullich,United Kingdom,-3.1269422,57.4694803
190,Blessington,Ireland,-8.5111664,51.8858819
191,Kiltamagh,Ireland,-8.9949917,53.8533151
192,Belfast,United Kingdom,-5.9308088,54.5940619
193,London,United Kingdom,-0.1284654,51.5142805
194,Crumlin,Ireland,-6.3048641,53.3284298
195,Walton,United Kingdom,-1.585418,52.177639
196,Dungarvan,Ireland,-6.1822287,53.3788495
197,Brampton,United Kingdom,1.580316,52.382748
198,Cashel,Ireland,-7.888894,52.516323
199,Castlemartyr,Ireland,-8.05,51.9166667
200,Ashford,Ireland,-6.3828795,53.385304
201,Buckland,United Kingdom,1.2986666,51.1372058
202,Youghal,Ireland,-7.8434254,51.949401
203,Castlepollard,Ireland,-7.2979911,53.6785169
204,Old Kilcullen,Ireland,-6.7449927,53.1310185
205,Ballybofey,Ireland,-7.74208,54.70972
206,Coolock,Ireland,-6.1920933,53.3916434
207,London,United Kingdom,-0.1284654,51.5142805
208,Tullamore,Ireland,-7.518792,53.284466
209,Upton,United Kingdom,-1.2780726,53.6190091
210,Rathangan,Ireland,-6.9898366,53.2265199
211,Kinlough,Ireland,-6.1136478,53.2121335
212,Fermoy,Ireland,-9.5003786,52.4458588
213,Marston,United Kingdom,-2.244703,52.721723
214,Youghal,Ireland,-7.8434254,51.949401
215,Ratoath,Ireland,-6.4671298,53.5050031
216,Horton,United Kingdom,-2.3523889,51.5598572
217,Norton,United Kingdom,-1.4631269,53.3326454
218,Sandyford,Ireland,-6.3422325,53.719155
219,Greenhills,Ireland,-6.336393,53.3122864
220,Moville,Ireland,-8.4242597,51.8910459
221,Thomastown,Ireland,-6.7434401,53.2229873
222,Milton,United Kingdom,-2.955445,57.6727414
223,Beaumont,Ireland,-6.2057463,53.3870149
224,Carlton,United Kingdom,-1.90546,54.256793
225,Birr,Ireland,-7.9139891,53.0949398
226,Preston,United Kingdom,-2.70309,53.763201
227,Bayside,Ireland,-9.1097137,53.2582868
228,Blessington,Ireland,-8.5111664,51.8858819
229,Tullyallen,Ireland,-6.4241156,53.7369009
230,Granard,Ireland,-7.5011999,53.776647
231,Thomastown,Ireland,-6.7434401,53.2229873
232,Cill Airne,Ireland,-6.2890702,53.3201497
233,Clonskeagh,Ireland,-6.2387374,53.3141205
234,Dún Laoghaire,Ireland,-6.133718,53.291512
235,Birmingham,United Kingdom,-1.7138034,52.454148
236,Ashley,United Kingdom,-2.2685462,51.4139633
237,Rathnew,Ireland,-6.374155,53.3223974
238,Preston,United Kingdom,-2.70309,53.763201
239,Clogherhead,Ireland,-6.2429997,53.7902634
240,Thomastown,Ireland,-6.7434401,53.2229873
241,Claremorris,Ireland,-8.334953,51.8610022
242,London,United Kingdom,-0.1401487,51.4984999
243,Hatton,United Kingdom,-1.6462357,52.300713
244,Kingscourt,Ireland,-6.2755912,53.3500473
245,Belfast,United Kingdom,-5.9308088,54.5940619
246,Gweedore,Ireland,-9.0288689,53.2737147
247,Kinnegad,Ireland,-9.1327273,53.806868
248,Ballylinan,Ireland,-7.0472382,52.9480781
249,Beaumont,Ireland,-6.2057463,53.3870149
250,Kill,Ireland,-6.5924609,53.2482376
251,Fermoy,Ireland,-9.5003786,52.4458588
252,Carrigaline,Ireland,-8.3929404,51.8113447
253,Lusk,Ireland,-6.1535181,53.5220275
254,Linton,United Kingdom,-2.0215836,54.0542238
255,Merton,United Kingdom,-0.2050566,51.4255297
256,Glasnevin,Ireland,-6.266734,53.3829319
257,Skibbereen,Ireland,-9.268589,51.549106
258,Castlebridge,Ireland,-6.5853664,53.378253
259,Whitwell,United Kingdom,-1.555363,54.3886617
260,Ballyboden,Ireland,-6.3049392,53.3021194
261,Listowel,Ireland,-9.4851741,52.4460804
262,Watergrasshill,Ireland,-8.337871,52.0097259
263,Sallins,Ireland,-6.6633404,53.2492381
264,Rathwire,Ireland,-7.145971,53.508326
265,Milltown,Ireland,-7.9027266,53.4148582
266,Cluain Meala,Ireland,-6.2611953,53.3881832
267,Ashford,Ireland,-6.3828795,53.385304
268,Rathnew,Ireland,-6.374155,53.3223974
269,Castleblayney,Ireland,-6.64937,54.10269
270,Thorpe,United Kingdom,-1.9847194,54.0521127
271,Swindon,United Kingdom,-1.7880953,51.5487433
272,Kiltamagh,Ireland,-8.9949917,53.8533151
273,Norton,United Kingdom,-1.1202549,52.2679288
274,Castlebellingham,Ireland,-6.391149,53.8996586
275,Leeds,United Kingdom,-1.56285,53.8145
276,Moville,Ireland,-8.4242597,51.8910459
277,Cabinteely,Ireland,-6.1603828,53.2599034
278,Ballymun,Ireland,-6.264963,53.3897152
279,Ratoath,Ireland,-6.4671298,53.5050031
280,Moycullen,Ireland,-9.159604,53.302644
281,Dundrum,Ireland,-6.2508196,53.2866372
282,Lucan,Ireland,-9.4904891,52.6396679
283,Milton,United Kingdom,-2.955445,57.6727414
284,Ballymun,Ireland,-6.264963,53.3897152
285,Castleblayney,Ireland,-6.64937,54.10269
286,London,United Kingdom,-0.1365486,51.5136143
287,Norton,United Kingdom,-1.1202549,52.2679288
288,Moycullen,Ireland,-9.159604,53.302644
289,Tower,Ireland,-80.7087609,35.7797381
290,Carrigaline,Ireland,-8.3929404,51.8113447
291,Carrigaline,Ireland,-8.3929404,51.8113447
292,Cloyne,Ireland,-6.2398782,53.32112
293,Adare,Ireland,-6.176659,53.4487975
294,Kilkenny,Ireland,-7.2584,52.655184
295,West End,United Kingdom,0.04134,53.46464
296,Eaton,United Kingdom,-0.9335791,53.2945961
297,Leeds,United Kingdom,-1.56285,53.8145
298,Dunlewy,Ireland,-6.1157412,53.2774963
299,Newport,United Kingdom,1.6993747,52.6915552
300,Oranmore,Ireland,-9.7359765,54.1433253
301,Oughterard,Ireland,-6.1406578,53.2886387
302,Gweedore,Ireland,-9.0288689,53.2737147
303,Raphoe,Ireland,-8.2755058,52.2627273
304,Cluain Meala,Ireland,-6.2611953,53.3881832
305,Hatton,United Kingdom,-1.6462357,52.300713
306,Balrothery,Ireland,-6.1884248,53.5879156
307,Kildare,Ireland,-6.9140788,53.169971
308,Norton,United Kingdom,-1.1202549,52.2679288
309,Prosperous,Ireland,-6.7515223,53.2888321
310,Lusk,Ireland,-6.1535181,53.5220275
311,Bagenalstown,Ireland,-6.9692181,52.7009338
312,Dún Laoghaire,Ireland,-6.133718,53.291512
313,Horton,United Kingdom,-2.3523889,51.5598572
314,Cill Airne,Ireland,-6.2890702,53.3201497
315,London,United Kingdom,-0.1401487,51.4984999
316,Marston,United Kingdom,-2.244703,52.721723
317,Swindon,United Kingdom,-1.7880953,51.5487433
318,Naas,Ireland,-6.67045,53.213319
319,Kingston,United Kingdom,-2.355369,50.887101
320,Thorpe,United Kingdom,-1.9847194,54.0521127
321,Castlerea,Ireland,-8.6346959,53.7423435
322,Bailieborough,Ireland,-6.9711886,53.916791
323,Longford,Ireland,-7.8004329,53.7283566
324,London,United Kingdom,-0.1365486,51.5136143
325,Cobh,Ireland,-8.298942,51.848898
326,Kiltamagh,Ireland,-8.9949917,53.8533151
327,Upton,United Kingdom,-0.7009333,53.3723602
328,Templeogue,Ireland,-6.3219759,53.2976886
329,Aughrim,Ireland,-6.366762,53.2987724
330,Norton,United Kingdom,-1.4631269,53.3326454
331,Bristol,United Kingdom,-2.6467239,51.4063964
332,Lucan,Ireland,-9.4904891,52.6396679
333,Whitwell,United Kingdom,-1.555363,54.3886617
334,Manorhamilton,Ireland,-8.1722002,54.3051891
335,Ballymahon,Ireland,-7.7655701,53.5650926
336,Milton,United Kingdom,-2.955445,57.6727414
337,Birr,Ireland,-7.9139891,53.0949398
338,Castlerea,Ireland,-8.6346959,53.7423435
339,Ballinroad,Ireland,-7.5717688,52.1045472
340,Birr,Ireland,-7.9139891,53.0949398
341,Blessington,Ireland,-8.5111664,51.8858819
342,Cobh,Ireland,-8.298942,51.848898
343,Tallaght,Ireland,-6.3660863,53.2874153
344,Bundoran,Ireland,-8.2817353,54.4771768
345,Cill Airne,Ireland,-6.2890702,53.3201497
346,Church End,United Kingdom,0.1405602,52.216745
347,Ratoath,Ireland,-6.4671298,53.5050031
348,Dean,United Kingdom,-1.504654,51.900276
349,Thorpe,United Kingdom,-1.9847194,54.0521127
350,Kiltamagh,Ireland,-8.9949917,53.8533151
351,Confey,Ireland,-6.5028415,53.3806398
352,Wirral,United Kingdom,-3.1605843,53.3758568
353,Dungloe,Ireland,-6.3695384,53.3734053
354,Newmarket on Fergus,Ireland,-8.8950821,52.7604883
355,Liverpool,United Kingdom,-1.3347302,54.7598905
356,Ballybofey,Ireland,-7.74208,54.70972
357,Ashbourne,Ireland,-6.1215213,53.2724538
358,Aughrim,Ireland,-6.366762,53.2987724
359,Bayside,Ireland,-9.1097137,53.2582868
360,Rathnew,Ireland,-6.374155,53.3223974
361,Kinsealy-Drinan,Ireland,-6.1644997,53.4266145
362,London,United Kingdom,-0.1255489,51.5195403
363,Langley,United Kingdom,-0.23924,51.888151
364,Kilcullen,Ireland,-8.5047067,51.8830697
365,Athy,Ireland,-6.9858993,53.0018699
366,Denton,United Kingdom,-2.114613,53.455203
367,Farranacoush,Ireland,-8.5171384,51.876873
368,Ashbourne,Ireland,-6.1215213,53.2724538
369,Craigavon,United Kingdom,-6.4175653,54.4429264
370,Ballisodare,Ireland,-8.5070436,54.2109904
371,Macroom,Ireland,-8.958931,51.904635
372,Liverpool,United Kingdom,-2.867264,53.4913801
373,Rathwire,Ireland,-7.145971,53.508326
374,Carrigaline,Ireland,-8.3929404,51.8113447
375,Navan,Ireland,-6.313755,53.366736
376,Midleton,Ireland,-8.1722173,51.9138694
377,Stapleford,United Kingdom,-0.687802,53.10672
378,Sutton,United Kingdom,1.3443099,51.195454
379,Aghada,Ireland,-8.4627451,54.25645
380,Kildare,Ireland,-6.9140788,53.169971
381,Swindon,United Kingdom,-1.7880953,51.5487433
382,Upton,United Kingdom,-0.7009333,53.3723602
383,Fermoy,Ireland,-9.5003786,52.4458588
384,Dún Laoghaire,Ireland,-6.133718,53.291512
385,Newtown,United Kingdom,-1.3218754,51.3684218
386,Arklow,Ireland,-8.4523258,51.880525
387,Crossmolina,Ireland,-6.473025,54.0086093
388,Castlepollard,Ireland,-7.2979911,53.6785169
389,Tallaght,Ireland,-6.3660863,53.2874153
390,Farranacoush,Ireland,-8.5171384,51.876873
391,Dalkey,Ireland,-6.1072403,53.2780047
392,Athlone,Ireland,-7.9428197,53.4231032
393,Coolock,Ireland,-6.1920933,53.3916434
394,Langley,United Kingdom,-0.23924,51.888151
395,Tower,Ireland,-80.7087609,35.7797381
396,Oranmore,Ireland,-9.7359765,54.1433253
397,Charlton,United Kingdom,-1.407848,51.59119
398,Tuam,Ireland,-8.83565,53.49417
399,Gweedore,Ireland,-9.0288689,53.2737147
400,Sandyford,Ireland,-6.3422325,53.719155
401,Tullamore,Ireland,-7.518792,53.284466
402,Skerries,Ireland,-6.1349155,53.5834008
403,Liverpool,United Kingdom,-2.867264,53.4913801
404,Newtown,United Kingdom,-1.3218754,51.3684218
405,London,United Kingdom,-0.0829051,51.5116933
406,Kinloch,United Kingdom,-6.2823331,57.013064
407,Kilcullen,Ireland,-8.5047067,51.8830697
408,Swindon,United Kingdom,-1.7880953,51.5487433
409,Kiltamagh,Ireland,-8.9949917,53.8533151
410,Castlerea,Ireland,-8.6346959,53.7423435
411,Dalkey,Ireland,-6.1072403,53.2780047
412,Craigavon,United Kingdom,-6.4175653,54.4429264
413,Bailieborough,Ireland,-6.9711886,53.916791
414,Castlebellingham,Ireland,-6.391149,53.8996586
415,Bearna,Ireland,-6.2340942,53.2993199
416,Sutton,Ireland,-6.1097188,53.3895926
417,Aberdeen,United Kingdom,-2.2508745,56.968436
418,Caherconlish,Ireland,-8.3545704,52.5593605
419,Birmingham,United Kingdom,-1.7138034,52.454148
420,Moate,Ireland,-6.1942058,53.3604483
421,Charlesland,Ireland,-6.0690645,53.1257486
422,Cluain Meala,Ireland,-6.2611953,53.3881832
423,Ballinteer,Ireland,-6.2554371,53.2767301
424,Church End,United Kingdom,0.1405602,52.216745
425,Castlemartyr,Ireland,-8.05,51.9166667
426,Newbiggin,United Kingdom,-2.0871107,54.9418362
427,Cloyne,Ireland,-6.2398782,53.32112
428,Whitwell,United Kingdom,-1.555363,54.3886617
429,Monaghan,Ireland,-7.0943023,54.2694844
430,Dean,United Kingdom,-1.504654,51.900276
431,Kinnegad,Ireland,-9.1327273,53.806868
432,Confey,Ireland,-6.5028415,53.3806398
433,Dundrum,Ireland,-6.2508196,53.2866372
434,Aberdeen,United Kingdom,-2.2508745,56.968436
435,Bundoran,Ireland,-8.2817353,54.4771768
436,Cashel,Ireland,-7.888894,52.516323
437,Church End,United Kingdom,0.1405602,52.216745
438,Ratoath,Ireland,-6.4671298,53.5050031
439,Newtown,United Kingdom,-1.3218754,51.3684218
440,Greenhills,Ireland,-6.336393,53.3122864
441,Eadestown,Ireland,-6.590926,53.1936864
442,Charlesland,Ireland,-6.0690645,53.1257486
443,Malahide,Ireland,-6.1479779,53.450694
444,Foxrock,Ireland,-6.1011147,53.2000455
445,Leeds,United Kingdom,-1.56285,53.8145
446,Macroom,Ireland,-8.958931,51.904635
447,Kinsale,Ireland,-6.251714,53.3169419
448,Tower,Ireland,-80.7087609,35.7797381
449,Castlerea,Ireland,-8.6346959,53.7423435
450,Trá Mhór,Ireland,-9.0197835,53.2736466
451,Ashley,United Kingdom,-2.2685462,51.4139633
452,Athlone,Ireland,-7.9428197,53.4231032
453,Rathwire,Ireland,-7.145971,53.508326
454,Raheny,Ireland,-6.1820563,53.3786861
455,Aberdeen,United Kingdom,-2.2508745,56.968436
456,Dungarvan,Ireland,-6.1822287,53.3788495
457,Eaton,United Kingdom,-0.9335791,53.2945961
458,Rathnew,Ireland,-6.374155,53.3223974
459,Norton,United Kingdom,-1.1202549,52.2679288
460,London,United Kingdom,-0.1284654,51.5142805
461,Muff,Ireland,-7.269174,55.0650892
462,Kingscourt,Ireland,-6.2755912,53.3500473
463,Foxrock,Ireland,-6.1011147,53.2000455
464,Tralee,Ireland,-7.0833118,52.2413206
465,Foxrock,Ireland,-6.1011147,53.2000455
466,Athlone,Ireland,-7.9428197,53.4231032
467,Monkstown,Ireland,-8.9775014,52.8314927
468,Thomastown,Ireland,-6.7434401,53.2229873
469,Kilkenny,Ireland,-7.2584,52.655184
470,Leixlip,Ireland,-6.4887534,53.3653866
471,Newmarket on Fergus,Ireland,-8.8950821,52.7604883
472,Oranmore,Ireland,-9.7359765,54.1433253
473,Kinnegad,Ireland,-9.1327273,53.806868
474,Ratoath,Ireland,-6.4671298,53.5050031
475,Burnside,United Kingdom,-3.5420426,55.9206837
476,Newton,United Kingdom,-3.8847449,57.5842033
477,Stradbally,Ireland,-8.5054897,52.7107501
478,Eaton,United Kingdom,-0.9335791,53.2945961
479,Daingean,Ireland,-7.1297243,52.2509369
480,Leeds,United Kingdom,-1.56285,53.8145
481,Sutton,United Kingdom,-0.193961,51.3614279
482,Clonskeagh,Ireland,-6.2387374,53.3141205
483,Ballinteer,Ireland,-6.2554371,53.2767301
484,Coolock,Ireland,-6.1920933,53.3916434
485,Fairview,Ireland,-6.4202878,54.0026343
486,Whitchurch,United Kingdom,-2.5573746,51.4057505
487,Gorey,Ireland,-6.308522,52.665267
488,Fermoy,Ireland,-9.5003786,52.4458588
489,Gweedore,Ireland,-9.0288689,53.2737147
490,Dunmanway,Ireland,-9.1115941,51.7203863
491,Marston,United Kingdom,-2.244703,52.721723
492,Piltown,Ireland,-6.3025448,53.6920618
493,Moville,Ireland,-8.4242597,51.8910459
494,Sheffield,United Kingdom,-1.7622544,53.3992318
495,Macroom,Ireland,-8.958931,51.904635
496,Ballyhaunis,Ireland,-8.7683674,53.7942932
497,Birr,Ireland,-7.9139891,53.0949398
498,Clonskeagh,Ireland,-6.2387374,53.3141205
499,Killorglin,Ireland,-9.7850991,52.1058991
500,Cobh,Ireland,-8.298942,51.848898
501,Cherryville,Ireland,-7.1111732,52.2513095
502,Askeaton,Ireland,-8.9706844,52.6004448
503,Arklow,Ireland,-8.4523258,51.880525
504,Bradford,United Kingdom,-1.7937455,53.7832102
505,London,United Kingdom,-0.1284654,51.5142805
506,Sallins,Ireland,-6.6633404,53.2492381
507,Horton,United Kingdom,-2.3523889,51.5598572
508,Cashel,Ireland,-7.888894,52.516323
509,Monasterevin,Ireland,-7.0625888,53.1387595
510,Athy,Ireland,-6.9858993,53.0018699
511,Balally,Ireland,-6.5899765,52.176031
512,Dunmanway,Ireland,-9.1115941,51.7203863
513,Norton,United Kingdom,-1.1202549,52.2679288
514,Moville,Ireland,-8.4242597,51.8910459
515,Aughrim,Ireland,-6.366762,53.2987724
516,Pentre,United Kingdom,-2.941678,52.753093
517,Birmingham,United Kingdom,-1.8886845,52.4608207
518,Kilcullen,Ireland,-8.5047067,51.8830697
519,Donnybrook,Ireland,-6.2324705,53.3177535
520,Lucan,Ireland,-9.4904891,52.6396679
521,Kinsealy-Drinan,Ireland,-6.1644997,53.4266145
522,Kilkenny,Ireland,-7.2584,52.655184
523,Glasnevin,Ireland,-6.266734,53.3829319
524,Athlone,Ireland,-7.9428197,53.4231032
525,Tallaght,Ireland,-6.3660863,53.2874153
526,Clogherhead,Ireland,-6.2429997,53.7902634
527,Whitchurch,United Kingdom,-2.5573746,51.4057505
528,Portarlington,Ireland,-7.185387,53.158984
529,Ballymun,Ireland,-6.264963,53.3897152
530,Edinburgh,United Kingdom,-3.1859102,55.9309486
531,Manchester,United Kingdom,-2.2294364,53.4508777
532,Clondalkin,Ireland,-6.4496384,53.3582341
533,Clogherhead,Ireland,-6.2429997,53.7902634
534,Killumney,Ireland,-8.6340751,52.6638144
535,Dunlewy,Ireland,-6.1157412,53.2774963
536,Newport,United Kingdom,1.6993747,52.6915552
537,Clones,Ireland,-7.2314132,54.1794814
538,Moate,Ireland,-6.1942058,53.3604483
539,Buckland,United Kingdom,1.2986666,51.1372058
540,Aston,United Kingdom,-2.569913,52.684744
541,Confey,Ireland,-6.5028415,53.3806398
542,Kinsealy-Drinan,Ireland,-6.1644997,53.4266145
543,Milltown,Ireland,-7.9027266,53.4148582
